M15, stop 1.0xATR, TP 2.0R, horizon 96 bars

=== BTCUSD
  atom                    dir   fires       n   P(2R)    lift     expR  liftExp
  session_ny              BUY   21.9%    3200   32.0%   -0.1%   -0.581   -0.003
  retest                 SELL   23.9%    3484   32.9%   -0.1%   -0.555   -0.004
  fvg                     BUY    6.3%     923   31.3%   -0.8%   -0.602   -0.024
  session_asia           SELL   34.7%    5064   31.8%   -1.2%   -0.586   -0.035
  displacement            BUY    4.9%     717   30.7%   -1.4%   -0.621   -0.042
  session_london         SELL   21.9%    3200   31.5%   -1.5%   -0.597   -0.046
  retest                  BUY   22.0%    3211   30.5%   -1.6%   -0.628   -0.049
  bos                     BUY   11.4%    1666   30.3%   -1.8%   -0.632   -0.054
  fvg                    SELL    6.6%     966   31.0%   -2.1%   -0.613   -0.062
  volspike                BUY   10.8%    1577   29.8%   -2.3%   -0.647   -0.069
  bos                    SELL   12.2%    1786   30.2%   -2.8%   -0.636   -0.085

=== EURUSD
  atom                    dir   fires       n   P(2R)    lift     expR  liftExp
  session_ny             SELL   20.8%    3420   38.1%   +2.7%   -0.063   +0.082
  discount                BUY   43.0%    7048   32.8%   +2.5%   -0.222   +0.076
  session_london          BUY   20.8%    3420   32.7%   +2.4%   -0.225   +0.072
  session_asia            BUY   33.3%    5463   32.5%   +2.2%   -0.231   +0.067
  sweep_high             SELL    5.3%     867   37.5%   +2.1%   -0.082   +0.062
  sweep_low               BUY    6.2%    1013   32.3%   +2.0%   -0.238   +0.059
  displacement            BUY    5.3%     862   32.1%   +1.8%   -0.243   +0.055
  premium                SELL   36.3%    5949   36.5%   +1.1%   -0.112   +0.033
  fvg                     BUY    6.4%    1048   31.4%   +1.1%   -0.265   +0.032
  volspike                BUY    6.3%    1030   31.2%   +0.8%   -0.272   +0.025
  wick_reject            SELL   20.5%    3366   35.7%   +0.3%   -0.136   +0.009
  _BASELINE               BUY  100.0%   16403   30.3%   +0.0%   -0.297   +0.000
